Group,AreaMean,AreaStd,EccMean,EccStd,StdIntMean,StdIntStd
All,586.677419354839,737.881540133095,0.796854053077974,0.148644240588557,0.0529822369093053,0.0536860406128868
Healthy,361,204.380306401253,0.802092905834915,0.143479225259947,0.0446157818888504,0.0457767772287321
Suspicious,1860.14285714286,1219.04176297442,0.767291955378095,0.173168194183469,0.100192947381872,0.068950279050228
