ID,Area,Eccentricity,StdIntensity,Suspicious
1,259,0.758900154776195,0.030893625850205,0
2,442,0.907211551904595,0.0342601615922785,0
3,194,0.858258050884125,0.139707500394833,0
4,1371,0.762033419580682,0.072702580644436,1
5,496,0.810337569681045,0.100756498529848,0
6,182,0.814180359629872,0.0754067232109286,0
7,173,0.728502976374761,0.0155625622238141,0
8,1164,0.777491917888123,0.0143716333725658,1
9,1519,0.948176273109079,0.0303216079668141,1
10,624,0.523071984375264,0.0408759339612739,0
11,217,0.914386525310137,0.0269269538658538,0
12,208,0.84429159403377,0.0687121401656091,0
13,2376,0.822646104721519,0.0742034892012517,1
14,418,0.79080874353552,0.0317893781150141,0
15,155,0.88803370462945,0.0106762114288919,0
16,211,0.674423324189995,0.0210740873306896,0
17,395,0.661041497244094,0.078343009995352,0
18,196,0.818821442697915,0.086283193493238,0
19,384,0.906481430670201,0.0176990191460503,0
20,93,0.765103465954058,0.0958465769887802,0
21,267,0.737684357184985,0.141322209214563,0
22,214,0.814777473778338,0.00737490492977977,0
23,309,0.892991871921474,0.0209907618337928,0
24,3109,0.820978087226451,0.188647248943148,1
25,1291,0.908457778274095,0.289799986602254,1
26,813,0.908989519665578,0.0339229529758772,0
27,504,0.798374651149853,0.0506285411250755,0
28,298,0.818461794295539,0.0826857167105367,0
29,229,0.945559705726492,0.0166479121084373,0
30,522,0.586368176404802,0.165972396639128,0
31,473,0.816243287723658,0.0218267087812463,0
32,1568,0.947607531539169,0.340147761636657,1
33,301,0.914055111872264,0.0240794502874645,0
34,510,0.725744737763171,0.0253428001424873,0
35,290,0.654445945624774,0.0262132960454,0
36,84,0.757422538252361,0.0204125428449021,0
37,259,0.85785467014985,0.0228190845497503,0
38,369,0.838564402529261,0.084581337669106,0
39,1095,0.906008337197223,0.0617144936286633,1
40,413,0.958913953544221,0.0121902232328525,0
41,403,0.963446427027726,0.0278083872437798,0
42,890,0.845621749141605,0.201835151566174,0
43,158,0.758524924531164,0.0341698843655188,0
44,415,0.840512525775368,0.032509407962684,0
45,253,0.776426632959655,0.018822758995612,0
46,283,0.653915888819743,0.018797220556298,0
47,132,0.676135456016059,0.0549977102107196,0
48,72,0.835561142099507,0.019253917071899,0
49,388,0.939334544312099,0.0251818362141783,0
50,2934,0.33629384464223,0.078382917498556,1
51,368,0.947007562375015,0.015969196527396,0
52,244,0.84588928755918,0.0235521253786795,0
53,781,0.862354315796793,0.0682180160956509,0
54,321,0.889512386697255,0.0444746312864309,0
55,328,0.765024834364636,0.012044847201587,0
56,428,0.893627710160229,0.05672179368935,0
57,592,0.838678931667662,0.0380571304758535,0
58,265,0.941318927223988,0.0148966612222724,0
59,225,0.950724870695941,0.090962370232829,0
60,140,0.925146481322889,0.00722177441265349,0
61,1083,0.676457566813672,0.0282405763653861,1
62,111,0.935620195002058,0.00713633684199809,0
63,123,0.827403123702729,0.0303956994095383,0
64,201,0.83249243724835,0.0104083322944973,0
65,238,0.918138356107793,0.039452064489426,0
66,341,0.796820374041921,0.00693633596515142,0
67,142,0.83547356262651,0.0129090988726882,0
68,1114,0.91348885832664,0.0813944795489192,1
69,64,0.804415605413276,0.0251345069200887,0
70,181,0.751941408617669,0.0113626289128239,0
71,474,0.242533162398919,0.0266463118654222,0
72,5205,0.926266674371253,0.145917649332093,1
73,353,0.649940988518728,0.01440114215612,0
74,214,0.910086446192661,0.0190424984759123,0
75,384,0.976775275751308,0.00802046978445646,0
76,279,0.961037537964092,0.0567316834967704,0
77,523,0.780154812370707,0.0235406587994972,0
78,1516,0.953135123342515,0.0808497909634339,1
79,217,0.86629482891158,0.0205702074492756,0
80,317,0.961433100390349,0.0093161920248223,0
81,347,0.842301916672086,0.0137192104906958,0
82,173,0.589236818929819,0.0194827170319714,0
83,1829,0.856591248665441,0.0394576679015326,1
84,350,0.841797706606137,0.0215714364146507,0
85,849,0.900369830661396,0.133485751096992,0
86,688,0.596801485133496,0.0140587005689276,0
87,336,0.864408813436491,0.0215911791867894,0
88,362,0.952317267009927,0.0929720024922012,0
89,179,0.897689123317777,0.0212055576173729,0
90,579,0.809058965899794,0.0269322398462873,0
91,123,0.89682529175229,0.00670595535777964,0
92,77,0.865462451882016,0.00718675991313756,0
93,541,0.697942054313511,0.0826727738908669,0
94,307,0.590603690964959,0.015751739499879,0
95,407,0.921655220011833,0.0353298667178412,0
96,457,0.756917243110662,0.0549828035240796,0
97,73,0.694278263762696,0.00609680610969889,0
98,115,0.643649222011833,0.0201089407529796,0
99,1533,0.839311591145324,0.0540448857807112,1
100,234,0.944495965148514,0.0896207009075866,0
101,254,0.674361303682168,0.0405607941077711,0
102,802,0.897892822598131,0.050210312467281,0
103,105,0.496239100235835,0.0136959080356308,0
104,562,0.533472682547019,0.018240021331998,0
105,399,0.687010685903524,0.0855292169966283,0
106,634,0.822159782146916,0.0195066872345953,0
107,221,0.925318729630143,0.0372775598338441,0
108,317,0.747052056659293,0.0135592381294458,0
109,186,0.720216052394774,0.0441442481909739,0
110,477,0.81897403252881,0.0384652998715455,0
111,742,0.847749659899843,0.0997451403027005,0
112,213,0.881644691256589,0.0315824889005246,0
113,2224,0.676079780860548,0.111610386106398,1
114,744,0.641284458546925,0.176812244093762,0
115,5732,0.578251695755903,0.0788069501733869,1
116,81,0.561069083642845,0.0429487419401249,0
117,452,0.819404281805879,0.0137304360475282,0
118,284,0.644130777266791,0.0240354321346091,0
119,220,0.93505968655322,0.0726921562528216,0
120,2152,0.945881766798778,0.223859929519691,1
121,248,0.716212079523468,0.0294030781328018,0
122,520,0.94847376339653,0.0218547692062511,0
123,274,0.650418141852415,0.017276581261628,0
124,355,0.462108789629146,0.0423186812490961,0
125,649,0.515306121293179,0.115556707172623,0
126,242,0.936196326475056,0.0400419670948022,0
127,463,0.741805019920082,0.036057362196371,0
128,750,0.902228808372928,0.048205420863593,0
129,498,0.675477235125187,0.0461526894867741,0
130,644,0.930531199279234,0.0269372338734756,0
131,565,0.700160624161657,0.0327847303633877,0
132,416,0.915854062930008,0.0173880179251059,0
133,614,0.76476248614529,0.051322324193333,0
134,318,0.779083299851909,0.125584032454711,0
135,199,0.765137162139051,0.04426298436403,0
136,110,0.501361531102179,0.122417098204348,0
137,403,0.897656235727776,0.136290615848822,0
138,515,0.734245580906805,0.0111871554379769,0
139,323,0.923537348408449,0.0152741727952,0
140,69,0.819389148889158,0.0255359952910897,0
141,3371,0.773205136386204,0.0789703769998145,1
142,531,0.967293312656418,0.053742338713067,0
143,586,0.67478338190228,0.0450379242154214,0
144,116,0.772554353097465,0.00746014972923886,0
145,137,0.92782326013672,0.00914487286944026,0
146,117,0.793263553634455,0.0256558901290791,0
147,283,0.954570819369871,0.0251321760442549,0
148,141,0.845747933240881,0.0518750888720456,0
149,144,0.689943822128202,0.020617089613197,0
150,283,0.643073585000741,0.0198792451828728,0
151,297,0.913844410899682,0.0106186202236476,0
152,2426,0.456636935619667,0.0418540153031751,1
153,171,0.808542414634984,0.0296650477160653,0
154,1143,0.844473906377188,0.160815855499595,1
155,214,0.724232917809632,0.0263865572808691,0
156,563,0.473794413140922,0.0324404488599967,0
157,446,0.708555068565308,0.0106951649219089,0
158,419,0.819303607571593,0.0285591985727856,0
159,1413,0.507150709985435,0.0534966603895499,1
160,146,0.828267359419076,0.0110634434930178,0
161,2112,0.580465527868825,0.0529073911684405,1
162,516,0.846889978141485,0.158803056080495,0
163,869,0.932107878036382,0.0809963923902792,0
164,426,0.954731113653407,0.017991006895312,0
165,206,0.856425633901466,0.109389678093101,0
166,196,0.814203664121147,0.0528463604144147,0
167,201,0.741838400574703,0.0114363503544524,0
168,518,0.938242909885252,0.0172383534648772,0
169,162,0.760412543259431,0.0152047377669701,0
170,869,0.948412740863817,0.0143431762840498,0
171,718,0.829205464013786,0.0877729538913919,0
172,217,0.856238902609908,0.0302580745859273,0
173,326,0.602403316811037,0.126225802514134,0
174,542,0.725775553976025,0.0258152555254585,0
175,529,0.886397332429835,0.0728522682545533,0
176,531,0.873591531434838,0.176647394555793,0
177,711,0.572726255083297,0.0318220022530057,0
178,316,0.847624835407046,0.0253471506118445,0
179,1001,0.938229144192002,0.0719937479599047,1
180,951,0.909630000101685,0.0489865054766619,1
181,377,0.925451151392685,0.0147482207806047,0
182,739,0.962880596274375,0.0696361269653999,0
183,744,0.824325366129868,0.0404040762160148,0
184,326,0.89047038101633,0.0282642961780393,0
185,461,0.689856691332302,0.00697890164980386,0
186,283,0.869952792195979,0.0142331708300994,0
187,101,0.846189711108592,0.0327609680950548,0
188,78,0.818660626210135,0.0221334175298138,0
189,1090,0.361362428789687,0.0626877273024722,1
190,4929,0.767028979533384,0.0681623101544728,1
191,1508,0.666775011609033,0.0274124946390054,1
192,1046,0.951722508328339,0.111591112738287,1
193,146,0.738144244200646,0.0275747999096,0
194,189,0.904850391678066,0.0365912781638067,0
195,175,0.609837012433168,0.0218307150693979,0
196,1294,0.665880333443407,0.221396559049051,1
197,953,0.810635547631083,0.069280624651302,1
198,207,0.738504012858631,0.00997433219405761,0
199,1102,0.928654033434396,0.0842904431984909,1
200,480,0.965088399662023,0.0497377331203914,0
201,490,0.818591612732997,0.0568705290767115,0
202,389,0.941495486735778,0.145369319473598,0
203,261,0.937594904585185,0.0111299513829418,0
204,1307,0.902485502900602,0.0639785190794444,1
205,622,0.659290824232398,0.130186646116451,0
206,982,0.773993942121347,0.0579501526462908,1
207,358,0.81825755732684,0.0293501290681419,0
208,280,0.860550583527454,0.0242764166046579,0
209,186,0.864424525508371,0.0238989225873919,0
210,446,0.973509545228098,0.0968503060091522,0
211,964,0.75934599942831,0.0544216775993362,1
212,386,0.825722888660413,0.244162800588852,0
213,1466,0.883477013121621,0.246510695163992,1
214,190,0.675489426805098,0.0204909751976606,0
215,386,0.862524246840462,0.0487013325938966,0
216,1009,0.931857816473836,0.0548782422883491,1
217,129,0.779518409620881,0.0172757158316285,0
218,1346,0.905346803730743,0.274467193542011,1
219,596,0.733322137797721,0.104233074618715,0
220,105,0.791756146160571,0.0164177130162264,0
221,386,0.422421301717085,0.204460889675213,0
222,182,0.712050262349344,0.0172645159251648,0
223,1553,0.80325925296565,0.274156563131025,1
224,299,0.755981223179424,0.0455114855301017,0
225,292,0.696326556155448,0.137412526941028,0
226,651,0.829145383408758,0.0367311969185457,0
227,1530,0.897033168820434,0.104972475877464,1
228,376,0.564553460610275,0.0297960872824807,0
229,176,0.925019877517869,0.0173559441723754,0
230,276,0.894352131409398,0.0491596212718506,0
231,390,0.620204674465364,0.261836605354529,0
232,559,0.331294995109506,0.0174314677613853,0
233,132,0.470828149330953,0.0251306658557991,0
234,589,0.923617475427267,0.0328938630098164,0
235,119,0.812008405805142,0.0671766584842561,0
236,362,0.990143678455471,0.0584214690914954,0
237,912,0.674383724239794,0.135082056709675,1
238,1183,0.848614382396514,0.055865383141514,1
239,352,0.878019949034705,0.0642222922633635,0
240,462,0.907412379021208,0.24228156967658,0
241,1320,0.866574733475599,0.0469488126333973,1
242,434,0.965871329093141,0.0602037566794953,0
243,704,0.735321588507219,0.0133094197191563,0
244,233,0.893579944666441,0.0298403130659694,0
245,157,0.956653191756927,0.011950783888163,0
246,1117,0.9386479930839,0.0700868988551783,1
247,203,0.921800740828006,0.0207533581201286,0
248,470,0.914746769991902,0.016545558918608,0
249,643,0.675326149521932,0.0880987475764699,0
250,290,0.691280188452347,0.0629250503616089,0
251,677,0.885038324890552,0.0783260990922124,0
252,806,0.863198924585678,0.228435132138537,0
253,164,0.850874311675731,0.0322141704339343,0
254,368,0.76716480013338,0.058356138232147,0
255,106,0.694337811500947,0.0312261616510303,0
256,291,0.801906221893681,0.00874269055185533,0
257,384,0.895803981307976,0.0331901302948163,0
258,1218,0.927339413086873,0.08394274945185,1
259,1650,0.488162513876056,0.0371667611397179,1
260,4199,0.725446645466549,0.0588807823317187,1
261,294,0.694262211469776,0.0412865717251099,0
262,495,0.559986874153627,0.0163200227798899,0
263,330,0.792989045152943,0.013801968026091,0
264,88,0.724793959440842,0.0165222270334452,0
265,348,0.929645139513209,0.0282932320359907,0
266,354,0.907426689105834,0.051366555146069,0
267,181,0.887971227208295,0.016114621219634,0
268,361,0.85103524937757,0.0520171181978535,0
269,203,0.849260580128166,0.131396190619603,0
270,458,0.488510025675059,0.0483484241453849,0
271,1214,0.862830991001317,0.127547457888223,1
272,889,0.699463528514733,0.234934853650451,0
273,529,0.91449089599813,0.0615976867854449,0
274,299,0.72372512358889,0.0141517280357061,0
275,192,0.911116564123527,0.00733829770694452,0
276,230,0.893103339575997,0.0134471563223616,0
277,609,0.92817853768341,0.0148928780319435,0
278,336,0.807828142357585,0.0116469620224255,0
279,754,0.926357717638691,0.0982698191802609,0
280,788,0.910950106745977,0.0522901759643009,0
281,510,0.501107848248608,0.0123583765625472,0
282,161,0.884821903524365,0.200993277491957,0
283,824,0.956616972441389,0.091314362790528,0
284,99,0.935177774791906,0.0327060172999392,0
285,247,0.773941440546785,0.148006125178397,0
286,247,0.707535027758128,0.0119533704639382,0
287,256,0.846762222213824,0.022175563620685,0
288,450,0.312777393603218,0.0103610115459848,0
289,936,0.95811208939349,0.0802082421025556,1
290,193,0.907271554980409,0.011080228619879,0
291,1616,0.911126687355737,0.0894476284239356,1
292,189,0.862048240769089,0.0889529680563161,0
293,230,0.857854150959395,0.0267840217724096,0
294,687,0.936924858188283,0.0936347150709052,0
295,338,0.884877979788788,0.0322608450423893,0
296,250,0.89047570241381,0.0458661067777214,0
297,851,0.574083967788755,0.0323426187065677,0
298,4328,0.440237604803788,0.090170732752801,1
299,538,0.335135952015372,0.0146400963353975,0
300,182,0.915152892396818,0.0140304201075143,0
301,427,0.770950530166949,0.0403662790047077,0
302,813,0.903294491311575,0.0584300641467081,0
303,333,0.762710026305277,0.0106896232761734,0
304,259,0.727658882835018,0.10143517141686,0
305,201,0.887558970451822,0.0546079547871492,0
306,807,0.937856048689499,0.0620205737206972,0
307,685,0.789891524500023,0.0349277097481696,0
308,188,0.897321453966203,0.0106308631398751,0
309,328,0.892441455434728,0.0279946815745471,0
310,619,0.447720683130759,0.107499014041345,0
311,787,0.939441554163287,0.0626730014035454,0
312,1165,0.626218947035329,0.100033314118043,1
313,815,0.838977677183048,0.0405099820737825,0
314,343,0.931023298852709,0.0299761864970997,0
315,661,0.834879588788193,0.0247146633923743,0
316,171,0.927927707227259,0.0511361204805535,0
317,236,0.849742227216753,0.0290740339717172,0
318,354,0.768462474596808,0.0333268061427243,0
319,162,0.758572716010844,0.0829059600865004,0
320,195,0.96448124629089,0.0756418671612585,0
321,899,0.835015274331972,0.0446215772393515,1
322,635,0.883606242261779,0.0706099150959908,0
323,901,0.790333333982088,0.0936052493909109,1
324,697,0.855408071339879,0.0679651485765833,0
325,659,0.917879911660257,0.0551430590627993,0
326,377,0.948085350218943,0.0464029544578655,0
327,226,0.837868256502871,0.0674605659470429,0
328,218,0.562376949770184,0.0161826475014204,0
329,445,0.771790958349216,0.0716332979672516,0
330,837,0.585303861846945,0.172357226691767,0
331,574,0.75555515489912,0.064312339430821,0
332,174,0.934850230878782,0.0204494844121764,0
333,543,0.942423663015623,0.0708620750869774,0
334,368,0.889917179215013,0.019828763512354,0
335,635,0.917849315345664,0.0806127876254881,0
336,235,0.856494260796651,0.0540176227379828,0
337,1300,0.929369209316898,0.165340704887776,1
338,298,0.805181076504885,0.0273917678400226,0
339,482,0.581960798237467,0.00847031792569088,0
340,529,0.862806043072478,0.0159277622140256,0
341,276,0.889109320099824,0.0367408389122622,0
342,1448,0.885962920703939,0.191230247261398,1
343,3463,0.731669735021686,0.134842690193975,1
344,210,0.461907296042053,0.0119345257913323,0
345,296,0.955972051850681,0.0204943618924005,0
346,233,0.932181958528804,0.0148807292716419,0
347,312,0.860436619718024,0.0191762726964954,0
348,199,0.542571923622308,0.0412291081316461,0
